epoch,train_loss,val_loss,train_descriptor_loss,val_descriptor_loss,val_rmse,learning_rate,elapsed_seconds,train_alignment_loss,val_alignment_loss,val_alignment_spearman,val_alignment_kendall
213,0.301584,0.236593,0.291110,0.227236,0.476693,2.88e-04,10831.2,0.209481,0.187126,0.809919,0.624946
214,0.302126,0.238369,0.291867,0.228965,0.478503,2.88e-04,10882.5,0.205187,0.188070,0.807913,0.621544
215,0.300444,0.235250,0.290552,0.225904,0.475294,2.88e-04,10933.6,0.197842,0.186928,0.808886,0.623515
216,0.300807,0.234019,0.290500,0.224664,0.473988,2.88e-04,10987.4,0.206150,0.187099,0.809123,0.623158
217,0.301090,0.233749,0.290625,0.224478,0.473791,2.88e-04,11048.2,0.209290,0.185426,0.810384,0.624415
218,0.300175,0.234153,0.290072,0.224887,0.474222,2.88e-04,11102.0,0.202075,0.185326,0.810225,0.624613
219,0.303582,0.235880,0.293472,0.226640,0.476067,2.87e-04,11153.0,0.202197,0.184805,0.811505,0.626005
220,0.301309,0.234379,0.290862,0.225146,0.474496,2.87e-04,11207.8,0.208950,0.184661,0.811894,0.625612
221,0.301363,0.235830,0.291313,0.226640,0.476067,2.87e-04,11261.8,0.201008,0.183801,0.811597,0.625537
222,0.300544,0.234537,0.290198,0.225405,0.474768,2.87e-04,11317.4,0.206923,0.182649,0.813196,0.627176
223,0.299984,0.233504,0.289670,0.224306,0.473609,2.87e-04,11370.1,0.206291,0.183973,0.811861,0.626252
224,0.300570,0.234513,0.290316,0.225385,0.474747,2.87e-04,11423.1,0.205091,0.182565,0.813248,0.627128
225,0.299194,0.232018,0.289280,0.222820,0.472038,2.87e-04,11476.3,0.198276,0.183976,0.812409,0.626893
226,0.299185,0.233934,0.289189,0.224765,0.474094,2.86e-04,11528.8,0.199908,0.183383,0.811909,0.627152
227,0.298959,0.232984,0.288491,0.223784,0.473059,2.86e-04,11578.4,0.209358,0.183995,0.811912,0.627669
